# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 116, mean track length: 2
74 2.44778 3.93757 15.9196 180 195 190 0.822589 5 595 10 741
10 2.35609 3.93894 15.9191 233 235 234 0.277779 5 154 10 138
66 2.39663 3.91641 15.9551 206 236 226 0.0431847 5 552 10 425
2 2.14239 4.69693 16.1199 0 0 0 1.01109 5 10 10 52
76 2.36692 3.9513 15.8968 233 242 239 1.47455 5 607 10 717
12 2.52248 4.56701 15.9395 146 141 135 2.8336 5 178 10 255
68 2.40671 3.90735 15.9747 176 180 165 0.346636 5 564 10 684
4 2.39905 3.96552 15.8802 64 143 129 0.0997605 5 79 10 69
69 2.4246 3.90882 15.972 154 176 155 0.563678 5 566 10 783
5 2.42553 4.60675 15.9217 75 59 36 1.40276 5 95 10 126
15 2.09297 4.61632 16.0862 105 100 94 1.06737 5 186 10 163
71 2.45126 3.91787 15.9563 249 249 246 0.914788 5 579 10 775
7 2.39051 4.61168 15.9275 58 41 25 0.130342 5 122 10 161
73 2.45361 3.93297 15.9312 174 189 184 1.43757 5 590 10 751
9 2.42048 3.96218 15.8845 250 244 246 0.613975 5 152 10 82
16 2.17165 4.75916 16.0083 17 17 17 0.403903 5 188 10 216
81 2.37194 4.58425 15.935 113 97 74 2.42944 5 704 10 930
17 2.38925 3.95659 15.8899 229 246 236 0.678207 5 209 10 195
82 2.37767 4.60981 15.9302 98 82 59 0.0749627 5 718 10 893
18 2.42963 3.98646 15.8641 235 219 204 1.17687 5 212 10 197
21 2.45956 3.94862 15.9072 103 144 130 1.48875 5 227 10 183
22 2.47395 3.93957 15.9214 93 139 123 1.01066 5 229 10 292
24 2.38289 3.94251 15.9099 248 247 248 0.277546 5 246 10 291
25 2.42712 4.27389 15.7697 128 123 117 1.41686 5 250 10 190
27 2.35375 3.95996 15.8907 90 136 113 1.12878 5 265 10 233
28 2.45956 3.94862 15.9072 103 144 130 1.48875 5 268 10 186
29 2.38289 3.94251 15.9099 248 247 248 0.277546 5 269 10 226
30 2.47395 3.93957 15.9214 93 139 123 1.01066 5 270 10 223
31 2.36712 3.92385 15.9378 136 168 158 1.71832 5 271 10 397
32 2.42712 4.27389 15.7697 128 123 117 1.41686 5 277 10 213
33 2.40792 3.93496 15.9169 242 252 241 0.139342 5 289 10 392
34 2.46149 3.93673 15.9236 138 159 152 0.0075606 5 290 10 407
35 2.40098 3.94005 15.9116 254 254 254 0.697754 5 293 10 225
36 2.43759 3.95772 15.8917 219 246 237 0.275368 5 295 10 359
37 2.40957 3.95842 15.8893 238 254 254 0.578344 5 296 10 228
38 2.48884 3.96832 15.8865 231 220 202 0.860698 5 297 10 318
39 2.4146 3.9679 15.8787 234 242 245 0.554947 5 298 10 356
40 2.44642 4.60256 15.92 141 123 109 1.46535 5 336 10 534
42 2.38679 4.61533 15.9289 94 77 59 0.0954549 5 339 10 542
43 2.45139 4.59016 15.9268 94 76 65 1.90741 5 355 10 321
44 2.39903 4.56877 15.9426 87 80 59 3.5129 5 357 10 616
45 2.4146 3.9679 15.8787 234 242 245 0.554947 5 362 10 378
46 2.46149 3.93673 15.9236 138 159 152 0.0075606 5 364 10 386
47 2.3626 3.93181 15.9288 123 150 141 0.235144 5 373 10 391
48 2.44631 4.59603 15.9223 102 84 68 1.09197 5 379 10 327
51 2.44994 3.95596 15.8959 223 235 231 0.118843 5 469 10 453
52 2.3528 3.94534 15.9069 107 134 125 0.882346 5 472 10 665
53 2.38423 3.9371 15.9176 184 190 188 0.142784 5 475 10 626
54 2.41469 3.93542 15.919 175 185 174 0.162263 5 476 10 443
55 2.44166 3.93299 15.9253 176 191 186 0.512503 5 479 10 436
56 2.46791 3.92304 15.9453 253 252 253 0.81866 5 483 10 773
57 2.33176 4.58344 15.939 124 109 86 1.35655 5 484 10 537
58 2.42598 4.60197 15.924 76 60 37 0.94435 5 492 10 828
59 2.43402 4.60525 15.9212 69 52 36 1.93954 5 494 10 925
60 2.35802 4.61749 15.9339 90 85 77 0.586923 5 500 10 335
61 2.38423 3.9371 15.9176 184 190 188 0.142784 5 516 10 449
62 2.36742 3.91166 15.968 169 175 165 0.707908 5 522 10 755
63 2.37439 3.91341 15.9611 228 243 238 0.594471 5 530 10 634
64 2.38326 3.91071 15.9672 218 238 231 0.670089 5 533 10 424
65 2.43271 4.63126 15.926 24 20 8 0.197425 5 546 10 2454
67 2.42282 3.90222 15.9851 237 222 213 0.352394 5 560 10 784
70 2.35248 3.91162 15.9689 253 250 236 1.21087 5 572 10 749
72 2.47284 3.92581 15.9447 188 193 186 1.57359 5 584 10 771
75 2.39156 3.94194 15.9111 167 167 167 0.0143978 5 599 10 452
83 2.43444 4.60836 15.9215 136 125 107 2.03048 5 721 10 1592
85 2.34419 4.61406 15.9388 84 80 68 1.43162 5 725 10 1624
86 2.454 4.61528 15.9214 71 60 42 0.13378 5 730 10 2901
87 2.34939 4.62816 16.2712 32 27 21 2.00418 5 731 10 973
88 2.39017 4.62195 15.9274 75 71 59 0.786258 5 733 10 826
89 2.19575 4.75287 15.9964 81 76 70 0.00817749 5 765 10 343
90 2.36571 3.94738 15.9028 185 194 191 0.59074 5 834 10 457
91 2.39017 4.62195 15.9274 75 71 59 0.786258 5 865 10 909
92 2.42849 3.94663 15.906 201 236 224 0.354303 5 887 10 450
93 2.39562 4.62442 15.9249 143 139 127 1.81822 5 892 10 1254
95 2.45032 3.94705 15.9095 103 146 132 0.384403 5 950 10 1938
96 2.38773 3.94659 15.908 220 243 235 0.16112 5 953 10 455
97 2.09817 4.62347 16.0762 115 110 104 1.83793 5 954 10 2405
98 2.45762 3.93059 15.9333 167 184 178 1.0027 5 1014 10 754
99 2.20337 4.74432 16.0587 92 86 88 1.59918 5 1059 10 2355
100 2.34976 3.9393 15.9226 190 206 200 1.07044 5 1081 10 1198
101 2.45409 3.9409 15.9154 187 202 197 1.5179 5 1083 10 1215
102 2.42017 3.94105 15.9139 179 197 191 1.85601 5 1086 10 733
103 2.46908 3.95188 15.9072 207 237 227 0.418981 5 1093 10 1431
104 2.46551 3.95877 15.8955 174 185 181 0.251712 5 1096 10 727
105 2.44698 3.95893 15.8936 166 189 181 0.0910436 5 1097 10 1439
106 2.39038 4.56701 15.9373 102 85 69 2.65136 5 1206 10 1555
109 2.38171 4.59268 15.9307 138 123 92 2.13278 5 1243 10 389
110 2.38585 4.59373 15.9283 172 157 126 0.806664 5 1247 10 926
111 2.43163 4.60334 15.9214 108 91 75 1.50582 5 1264 10 2069
112 2.38568 4.60712 15.9277 88 73 42 0.0502888 5 1265 10 1604
113 2.43004 3.91462 15.9585 231 240 237 1.20732 5 1286 10 772
114 2.38171 4.59268 15.9307 138 123 92 2.13278 5 1327 10 399
115 2.38341 4.61751 15.9303 148 138 121 0.194361 5 1391 10 1617
116 2.05731 4.5652 16.0983 132 127 121 0.560251 5 1394 10 2418
117 2.38477 4.62164 15.9295 75 71 59 0.352523 5 1400 10 2450
118 2.13247 4.67113 16.0939 58 53 47 3.22613 5 1422 10 2392
