# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 93, mean track length: 0
0 0.894323 0.527384 0.735724 33 23 21 0 342196849 335 874908085 323
1 1.2285 0.266307 0.650846 40 36 27 0 342196849 334 874908085 605
2 1.59034 0.687535 0.773871 18 16 17 0 342196849 634 874908085 959
3 1.63668 0.722394 0.784296 104 99 95 0 342196849 660 874908085 1112
4 1.6983 0.695986 0.778456 10 11 6 0 342196849 883 874908085 1245
5 0.901125 0.500902 0.729938 42 27 20 0 342196849 862 874908085 994
6 1.58565 0.67566 0.77056 70 70 70 0 342196849 699 874908085 1055
7 1.66576 0.695763 0.779546 81 81 81 0 342196849 2021 874908085 4480
8 1.63795 0.670415 0.772308 107 106 112 0 342196849 2573 874908085 2792
9 1.70965 0.700078 0.780724 18 18 18 0 342196849 3024 874908085 4397
10 1.25563 0.372489 0.677263 47 73 70 0 342196849 8541 874908085 8427
11 0.912681 0.53458 0.736624 29 19 17 0 342196849 34 874908085 33
12 0.644737 1.06655 0.912862 33 20 14 0 342196849 68 874908085 54
13 1.2573 0.317475 0.664611 1 1 1 0 342196849 44 874908085 61
14 0.954443 0.679979 0.772252 149 140 133 0 342196849 93 874908085 122
15 1.18468 1.03926 0.870215 27 17 15 0 342196849 171 874908085 257
16 0.693658 1.12762 0.934383 24 14 12 0 342196849 204 874908085 266
17 0.885263 0.614982 0.754747 137 128 119 0 342196849 573 874908085 315
18 0.96405 0.694753 0.775634 166 157 148 0 342196849 277 874908085 335
19 1.11356 0.840718 0.815818 187 176 148 0 342196849 216 874908085 340
20 1.67895 0.723402 0.780778 94 94 94 0 342196849 707 874908085 359
21 1.66396 0.666468 0.771138 94 88 90 0 342196849 390 874908085 538
22 0.945322 0.864767 0.810969 38 28 26 0 342196849 608 874908085 650
23 1.64101 0.668257 0.772585 108 107 112 0 342196849 490 874908085 664
24 0.891612 0.506964 0.731274 77 60 50 0 342196849 832 874908085 821
25 0.655206 1.1304 0.928846 41 9 10 0 342196849 1114 874908085 859
26 2.03732 1.46755 0.949147 9 9 17 0 342196849 496 874908085 890
