# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 191, mean track length: 2
1 2.95567 7.67906 29.3454 102 98 86 0.525284 8 52 3 116
2 6.47493 7.99311 31.5301 90 74 51 0.122392 8 71 3 40
3 5.49867 7.46483 31.7436 173 160 117 1.39118 8 85 3 80
4 0.273214 -1.92882 15.0103 103 125 166 2.43009 8 107 3 1083
5 5.49867 7.46483 31.7436 173 160 117 1.39118 8 113 3 77
6 -6.20615 3.12262 40.9335 147 165 187 0.727252 8 126 3 113
7 8.10059 6.79574 32.5085 118 111 95 1.05773 8 131 3 153
8 7.43493 6.80971 32.135 204 183 136 1.05498 8 132 3 155
9 8.08622 -7.46435 22.6416 158 147 129 0.710813 8 151 3 173
10 4.47711 -5.53573 25.4119 91 91 89 0.693879 8 154 3 89
11 6.89636 -5.42047 25.1793 125 112 103 0.672605 8 155 3 103
12 7.5277 -5.06927 25.8774 204 188 173 2.57398 8 156 3 180
13 3.9433 -4.28134 26.1408 129 140 146 1.72446 8 158 3 85
14 -4.74083 5.74548 39.711 90 77 68 2.71764 8 162 3 282
15 -6.28659 -11.8515 42.4018 245 245 250 0.152155 8 164 3 208
16 5.63721 8.49867 31.573 190 179 161 1.90536 8 178 3 192
17 6.71764 8.73396 31.3258 208 184 156 0.49819 8 181 3 117
18 8.06839 11.7772 29.3276 140 123 107 1.19166 8 184 3 199
19 -5.81971 1.94681 40.8312 173 194 249 0.670163 8 206 3 133
20 6.11659 9.27401 32.2911 60 56 44 0.244018 8 215 3 193
21 -6.54651 -8.01105 41.3821 87 109 150 0.974841 8 230 3 213
22 22.0816 0.135161 47.0046 122 118 106 0.553815 8 248 3 424
23 21.2093 0.94217 46.6696 154 141 132 0.238005 8 258 3 266
24 22.4922 0.882174 46.3517 121 116 110 0.126667 8 259 3 327
25 6.37524 5.39981 31.7376 222 196 138 0.145171 8 273 3 315
26 5.48781 5.98513 31.1768 86 71 48 1.02979 8 275 3 151
27 6.37524 5.39981 31.7376 222 196 138 0.145171 8 277 3 280
28 6.00046 6.01113 31.115 89 67 39 0.167848 8 287 3 283
29 5.2379 6.97075 31.4776 140 122 120 1.75714 8 289 3 314
30 7.56224 7.7796 31.9519 131 107 79 1.76992 8 292 3 393
31 6.58001 9.36748 32.1824 69 62 44 0.317858 8 302 3 298
32 3.88025 9.58928 29.8782 196 181 150 0.56848 8 304 3 310
33 5.2379 6.97075 31.4776 140 122 120 1.75714 8 317 3 286
34 22.8854 0.396399 47.1244 25 20 14 0.175685 8 323 3 825
35 7.0485 -6.06782 24.3857 147 134 125 2.42609 8 359 3 1209
36 -6.38535 -7.17659 42.0614 67 105 150 0.429515 8 366 3 348
37 -6.07748 -6.76488 42.0152 96 132 146 0.0622548 8 370 3 350
38 23.6178 -2.81816 50.8681 191 175 152 0.466775 8 379 3 487
39 -5.96395 -1.75201 41.3984 166 198 244 0.0214935 8 384 3 242
40 23.6829 -1.6652 49.505 39 35 23 0.0638814 8 385 3 405
41 22.8342 -1.12285 49.0193 31 26 20 0.210009 8 391 3 552
42 22.8854 0.396399 47.1244 25 20 14 0.175685 8 408 3 594
43 23.13 1.16905 46.1664 25 20 14 0.262493 8 414 3 436
44 -4.15191 1.77713 47.9996 76 71 65 0.0898218 8 417 3 609
45 7.8393 7.3551 32.2403 220 205 184 0.114467 8 452 3 608
46 7.8417 7.64335 31.9354 228 204 176 0.394675 8 457 3 246
47 23.388 -6.19547 49.2882 114 114 114 0.33702 8 459 3 1232
48 5.8452 7.83871 31.666 100 84 61 1.86279 8 461 3 394
49 23.26 -0.892633 48.5097 33 28 22 0.102032 8 511 3 560
50 -6.15511 -10.1393 42.3317 115 136 167 0.173687 8 522 3 457
51 -6.11442 -9.50668 42.2179 103 124 155 0.305546 8 524 3 459
52 -6.10533 -8.53227 42.1056 115 135 172 0.14829 8 533 3 464
53 7.75842 -4.84731 26.3714 97 96 92 2.63403 8 544 3 2512
54 22.8973 -2.49069 51.0393 35 46 29 0.0030537 8 568 3 852
55 23.1432 -2.41174 50.2183 40 42 34 0.606087 8 571 3 801
56 0.24063 -1.89564 14.9074 96 118 159 2.91279 8 572 3 1159
57 24.1831 -2.10954 50.0717 174 170 158 0.122793 8 573 3 538
58 22.8813 -2.06329 50.0928 179 166 157 0.123783 8 574 3 539
59 21.8254 -1.47225 49.6071 208 197 179 0.0567901 8 582 3 544
60 22.4898 -1.30278 49.4187 124 120 108 0.0878695 8 586 3 549
61 24.164 -1.1187 48.9148 14 9 3 0.14478 8 588 3 553
62 21.9291 -0.8969 48.6379 38 34 22 0.167357 8 590 3 561
63 22.0688 -0.373527 48.2644 35 31 19 0.00698066 8 596 3 579
64 23.3657 -0.394133 48.0344 24 19 13 0.0903 8 597 3 577
65 21.6406 1.57492 46.2158 119 114 108 0.154848 8 611 3 371
66 23.1763 1.57148 46.4436 95 90 84 0.298998 8 612 3 369
67 7.8393 7.3551 32.2403 220 205 184 0.114467 8 630 3 818
68 -2.04665 1.56837 19.511 36 49 59 0.427123 8 682 3 1823
69 6.04132 5.39714 31.7831 214 191 150 0.245691 8 693 3 1840
70 6.42353 5.71681 31.5398 108 79 47 0.252362 8 694 3 953
71 -6.18638 -11.1644 42.5972 106 150 177 0.489525 8 776 3 454
72 -6.30629 -8.98174 42.3277 188 217 255 0.0130426 8 788 3 686
73 24.2254 -5.95054 49.191 63 58 52 0.161124 8 812 3 853
74 5.80169 7.51697 31.5002 191 174 144 0.244244 8 853 3 620
75 6.44972 7.41493 31.5359 90 66 38 0.690877 8 858 3 969
76 23.0357 -0.474236 48.1838 99 95 83 0.0271766 8 859 3 1363
77 23.1492 -1.48128 49.3942 158 153 147 0.12529 8 870 3 1333
78 24.3326 -1.50155 49.2452 137 132 126 0.131524 8 871 3 1330
79 22.232 -0.738714 48.4114 180 176 164 0.0451808 8 878 3 566
80 22.6817 -0.17203 47.4946 26 22 10 0.507344 8 884 3 1374
81 23.0743 -0.0192505 47.4515 170 165 159 0.00512146 8 886 3 587
82 21.5529 0.586746 46.7854 29 16 7 0.079397 8 892 3 599
83 20.2354 0.782944 46.7124 194 181 172 0.020039 8 894 3 603
84 21.9113 0.747245 46.7271 156 152 140 0.207537 8 895 3 889
85 19.9524 0.999601 46.6855 39 45 41 0.00547401 8 896 3 897
86 21.6311 0.958353 46.4626 47 36 28 0.0862686 8 897 3 1126
87 19.3538 1.4224 46.1861 10 13 6 1.02935 8 905 3 1807
88 22.9554 1.3818 46.8987 33 28 22 0.913833 8 906 3 902
89 -3.70974 1.71489 48.4438 87 82 76 0.122815 8 911 3 925
90 6.44972 7.41493 31.5359 90 66 38 0.690877 8 922 3 1136
91 23.0743 -0.0192505 47.4515 170 165 159 0.00512146 8 937 3 828
92 5.95028 7.40778 31.5214 95 80 49 0.505508 8 958 3 971
93 5.76324 7.07741 31.5317 100 67 52 0.610467 8 963 3 965
94 6.93391 6.50053 31.3958 113 91 50 0.336246 8 966 3 960
95 5.27837 6.3471 31.4047 178 164 133 2.57463 8 970 3 667
96 23.2811 -0.59018 48.1483 17 12 6 0.424115 8 973 3 1736
97 -5.7638 -12.6577 42.7825 108 89 90 0.320347 8 979 3 1461
